transaction_id,user_id,amount,transaction_type,merchant_category,timestamp,transaction_frequency,avg_user_amount,deviation_from_avg,transaction_gap_seconds,account_age_days,failed_attempts,device_type,location,is_foreign_transaction,unusual_amount_flag,velocity_flag,new_device_flag,location_change_flag,night_transaction_flag,is_fraud,hour,day_of_week,month,is_weekend,is_night,log_amount,amount_to_avg_ratio,log_transaction_frequency,log_transaction_gap
T7175,U697,2223.52,transfer,electronics,2026-05-03 16:47:17.308484,8,2071.7280778627555,151.79,2813,794,1,mobile,India,0,0,0,0,0,0,0,16,6,5,1,0,7.707296440990126,1.0732682646366258,2.1972245773362196,7.942362237674335
T10950,U515,1507.74,transfer,fashion,2026-05-03 16:41:02.308484,2,1603.892701408498,96.15,4460,1809,1,mobile,UK,1,0,0,1,0,0,0,16,6,5,1,0,7.319030144386462,0.9400504146791681,1.0986122886681098,8.403128235128264
T3748,U978,2172.87,withdrawal,travel,2026-05-03 13:06:51.308484,10,2815.9261217638245,643.06,2045,682,1,mobile,UK,1,0,1,0,1,0,1,13,6,5,1,0,7.684264268285111,0.7716360107726595,2.3978952727983707,7.6236419465115715
T11845,U902,4795.42,transfer,gaming,2026-05-03 17:30:21.308484,3,2507.2955978693885,2288.12,4326,349,2,web,Germany,1,0,0,0,0,0,0,17,6,5,1,0,8.475625085290597,1.9125866141042136,1.3862943611198906,8.372629740224884
T2061,U584,519.97,transfer,electronics,2026-05-03 12:33:07.308484,2,1865.386478017991,1345.42,4222,583,1,web,UAE,1,0,0,0,0,0,0,12,6,5,1,0,6.2556924585215885,0.2787465256388754,1.0986122886681098,8.348301054933943
T5042,U499,1298.73,payment,gaming,2026-05-03 14:48:09.308484,11,2124.371746927746,825.64,3497,1498,2,mobile,UAE,1,0,1,1,1,0,0,14,6,5,1,0,7.169911829570902,0.6113478025994594,2.4849066497880004,8.159946655578548
T8082,U1194,6092.12,payment,electronics,2026-05-03 13:12:25.308484,11,2993.845914571134,3098.27,671,1653,1,web,UAE,1,1,1,1,1,0,0,13,6,5,1,0,8.714915544786216,2.034880943042057,2.4849066497880004,6.51025834052315
T7244,U770,793.78,transfer,fashion,2026-05-03 11:16:36.308484,6,2416.0241762210776,1622.24,3751,409,0,web,USA,1,0,0,0,1,0,0,11,6,5,1,0,6.678065346797894,0.32854803668107724,1.9459101490553132,8.230044310126114
T4368,U58,642.88,withdrawal,grocery,2026-05-03 17:33:46.308484,11,540.4162737839928,102.46,4975,1403,1,mobile,Germany,1,0,1,1,0,0,0,17,6,5,1,0,6.467512373338029,1.1896014794464924,2.4849066497880004,8.512381634419015
T7214,U863,571.16,transfer,gaming,2026-05-03 15:32:46.308484,4,868.223416916193,297.06,1820,175,1,mobile,UAE,1,0,0,0,0,0,0,15,6,5,1,0,6.349418672545094,0.6578491068241751,1.6094379124341003,7.507141079727608
T2976,U734,50.0,withdrawal,electronics,2026-05-03 12:23:05.308484,1,2106.4329806568567,2056.43,8941,612,1,mobile,India,0,0,0,1,0,0,0,12,6,5,1,0,3.9318256327243257,0.02373681025478034,0.6931471805599453,9.098514556793926
T8795,U955,4012.06,withdrawal,fashion,2026-05-03 17:31:55.308484,10,2587.816812851723,1424.24,611,1372,1,web,India,0,0,1,0,0,0,0,17,6,5,1,0,8.29730932156307,1.5503647624997166,2.3978952727983707,6.416732282512326
T10708,U711,627.84,payment,electronics,2026-05-03 16:01:33.308484,10,1798.0374594905009,1170.2,4451,1679,0,web,USA,1,0,1,0,1,0,1,16,6,5,1,0,6.443876852323313,0.34918071163474346,2.3978952727983707,8.401108712395436
T4322,U222,262.99,withdrawal,electronics,2026-05-03 10:40:57.308484,6,1157.5211449584283,894.53,6588,1696,1,web,USA,1,0,0,0,0,0,0,10,6,5,1,0,5.575911223641018,0.2272010329299376,1.9459101490553132,8.793156870913819
T9667,U540,1690.01,transfer,grocery,2026-05-03 18:24:23.308484,8,2253.487497060068,563.48,3028,377,2,web,India,0,0,0,1,1,0,0,18,6,5,1,0,7.43308126254165,0.7499531288524378,2.1972245773362196,8.015987811027237
T11981,U75,2955.4,transfer,fashion,2026-05-03 16:06:02.308484,6,2098.279553437271,857.12,1685,105,0,web,Germany,1,0,0,0,0,0,0,16,6,5,1,0,7.991727590910732,1.408487250304737,1.9459101490553132,7.430114138561801
T9445,U1083,3169.38,withdrawal,electronics,2026-05-03 19:00:31.308484,1,1723.465029422798,1445.91,4722,1624,1,web,USA,1,0,0,0,1,0,0,19,6,5,1,0,8.06160673350407,1.8389581129026402,0.6931471805599453,8.460199469896118
T8083,U764,1483.81,payment,travel,2026-05-03 18:45:01.308484,11,1321.8392914288852,161.97,4691,1206,0,web,Germany,1,0,1,1,0,0,0,18,6,5,1,0,7.30304209692305,1.1225343417303724,2.4849066497880004,8.453614209773367
T4560,U858,1560.03,withdrawal,fashion,2026-05-03 11:42:45.308484,9,2271.984112253894,711.95,2132,1324,1,mobile,India,0,0,1,0,0,0,0,11,6,5,1,0,7.353101138780472,0.6866377237848523,2.302585092994046,7.665284718471351
T7133,U223,777.64,payment,fashion,2026-05-03 13:02:08.308484,6,1187.869587920782,410.23,105,945,2,web,UAE,1,0,0,0,0,0,0,13,6,5,1,0,6.657548808118238,0.6546509879981952,1.9459101490553132,4.663439094112067
T3464,U484,1112.94,withdrawal,grocery,2026-05-03 13:28:52.308484,5,1296.2850938506965,183.35,2800,834,1,mobile,UAE,1,0,0,0,1,0,0,13,6,5,1,0,7.015658559072636,0.8585611332113529,1.791759469228055,7.937731775260109
T10816,U888,716.98,payment,electronics,2026-05-03 22:34:56.308484,5,1056.2791766943335,339.3,530,77,1,web,USA,1,0,0,0,0,0,0,22,6,5,1,0,6.576441713507059,0.6787788826482765,1.791759469228055,6.274762021241939
T4070,U156,369.4,transfer,fashion,2026-05-03 11:21:19.308484,11,958.5371344835426,589.14,3512,738,1,web,Germany,1,0,1,1,0,0,0,11,6,5,1,0,5.914583502772024,0.38537891368564753,2.4849066497880004,8.164225652265827
T1991,U300,1601.0,transfer,electronics,2026-05-03 11:05:11.308484,7,1701.445631721696,100.45,3150,998,3,mobile,USA,1,0,0,1,0,0,0,11,6,5,1,0,7.379008127628304,0.9409645358100456,2.0794415416798357,8.055475141757274
T7908,U824,1783.81,withdrawal,travel,2026-05-03 13:50:16.308484,3,2186.7649999643827,402.95,3883,640,1,mobile,USA,1,0,0,0,0,0,0,13,6,5,1,0,7.4870672459712955,0.8157300849489195,1.3862943611198906,8.264620829411216
T8519,U83,477.47,withdrawal,grocery,2026-05-03 15:48:25.308484,8,2808.392585744627,2330.92,4965,1387,1,web,UK,1,0,0,0,0,0,0,15,6,5,1,0,6.170593513002772,0.1700154039195295,2.1972245773362196,8.510369966068112
T790,U176,2244.25,transfer,travel,2026-05-03 12:33:02.308484,2,2466.4586770787664,222.21,7404,1352,0,mobile,UAE,1,0,0,0,0,0,0,12,6,5,1,0,7.716572152551059,0.9099078042321574,1.0986122886681098,8.909910726701899
T5860,U1029,959.16,withdrawal,gaming,2026-05-03 17:31:30.308484,2,2350.739934053355,1391.58,589,94,1,web,Germany,1,0,0,0,0,0,0,17,6,5,1,0,6.8670999372412025,0.40802471838648113,1.0986122886681098,6.380122536899765
T8550,U119,1019.44,transfer,travel,2026-05-03 15:48:56.308484,11,889.5976174818613,129.84,1862,584,1,mobile,Germany,1,0,1,0,0,0,0,15,6,5,1,0,6.9279891858129465,1.1459563052110242,2.4849066497880004,7.529943370601589
T5313,U748,3615.85,payment,gaming,2026-05-03 16:46:45.308484,5,2692.447460259624,923.4,2618,53,2,web,USA,1,0,0,0,0,0,0,16,6,5,1,0,8.193358760259978,1.3429602813153407,1.791759469228055,7.870547844507712
T2308,U314,2047.92,transfer,electronics,2026-05-03 10:53:40.308484,7,2673.647757101011,625.73,1391,48,2,web,USA,1,0,0,1,0,0,0,10,6,5,1,0,7.625068104040863,0.7659647737047303,2.0794415416798357,7.238496840894365
T8102,U618,3809.62,withdrawal,electronics,2026-05-03 20:50:56.308484,7,2452.3566754006224,1357.26,2964,1238,0,web,India,0,0,0,0,0,0,0,20,6,5,1,0,8.245547184540504,1.5534526590934001,2.0794415416798357,7.994632311431825
