transaction_id,user_id,amount,transaction_type,merchant_category,timestamp,transaction_frequency,avg_user_amount,deviation_from_avg,transaction_gap_seconds,account_age_days,failed_attempts,device_type,location,is_foreign_transaction,unusual_amount_flag,velocity_flag,new_device_flag,location_change_flag,night_transaction_flag,is_fraud
T7175,U697,2223.52,transfer,electronics,2026-05-03 16:47:17.308484,8,2071.7280778627555,151.79,2813,794,1,mobile,India,0,0,0,0,0,0,0
T10950,U515,1507.74,transfer,fashion,2026-05-03 16:41:02.308484,2,1603.892701408498,96.15,4460,1809,1,mobile,UK,1,0,0,1,0,0,0
T3748,U978,2172.87,withdrawal,travel,2026-05-03 13:06:51.308484,10,2815.9261217638245,643.06,2045,682,1,mobile,UK,1,0,1,0,1,0,1
T11845,U902,4795.42,transfer,gaming,2026-05-03 17:30:21.308484,3,2507.2955978693885,2288.12,4326,349,2,web,Germany,1,0,0,0,0,0,0
T2061,U584,519.97,transfer,electronics,2026-05-03 12:33:07.308484,2,1865.386478017991,1345.42,4222,583,1,web,UAE,1,0,0,0,0,0,0
T5042,U499,1298.73,payment,gaming,2026-05-03 14:48:09.308484,11,2124.371746927746,825.64,3497,1498,2,mobile,UAE,1,0,1,1,1,0,0
T8082,U1194,6092.12,payment,electronics,2026-05-03 13:12:25.308484,11,2993.845914571134,3098.27,671,1653,1,web,UAE,1,1,1,1,1,0,0
T7244,U770,793.78,transfer,fashion,2026-05-03 11:16:36.308484,6,2416.0241762210776,1622.24,3751,409,0,web,USA,1,0,0,0,1,0,0
T4368,U58,642.88,withdrawal,grocery,2026-05-03 17:33:46.308484,11,540.4162737839928,102.46,4975,1403,1,mobile,Germany,1,0,1,1,0,0,0
T7214,U863,571.16,transfer,gaming,2026-05-03 15:32:46.308484,4,868.223416916193,297.06,1820,175,1,mobile,UAE,1,0,0,0,0,0,0
T2976,U734,50.0,withdrawal,electronics,2026-05-03 12:23:05.308484,1,2106.4329806568567,2056.43,8941,612,1,mobile,India,0,0,0,1,0,0,0
T8795,U955,4012.06,withdrawal,fashion,2026-05-03 17:31:55.308484,10,2587.816812851723,1424.24,611,1372,1,web,India,0,0,1,0,0,0,0
T10708,U711,627.84,payment,electronics,2026-05-03 16:01:33.308484,10,1798.0374594905009,1170.2,4451,1679,0,web,USA,1,0,1,0,1,0,1
T4322,U222,262.99,withdrawal,electronics,2026-05-03 10:40:57.308484,6,1157.5211449584285,894.53,6588,1696,1,web,USA,1,0,0,0,0,0,0
T9667,U540,1690.01,transfer,grocery,2026-05-03 18:24:23.308484,8,2253.4874970600677,563.48,3028,377,2,web,India,0,0,0,1,1,0,0
T11981,U75,2955.4,transfer,fashion,2026-05-03 16:06:02.308484,6,2098.279553437271,857.12,1685,105,0,web,Germany,1,0,0,0,0,0,0
T9445,U1083,3169.38,withdrawal,electronics,2026-05-03 19:00:31.308484,1,1723.4650294227981,1445.91,4722,1624,1,web,USA,1,0,0,0,1,0,0
T8083,U764,1483.81,payment,travel,2026-05-03 18:45:01.308484,11,1321.8392914288852,161.97,4691,1206,0,web,Germany,1,0,1,1,0,0,0
T4560,U858,1560.03,withdrawal,fashion,2026-05-03 11:42:45.308484,9,2271.9841122538946,711.95,2132,1324,1,mobile,India,0,0,1,0,0,0,0
T7133,U223,777.64,payment,fashion,2026-05-03 13:02:08.308484,6,1187.8695879207821,410.23,105,945,2,web,UAE,1,0,0,0,0,0,0
T3464,U484,1112.94,withdrawal,grocery,2026-05-03 13:28:52.308484,5,1296.2850938506965,183.35,2800,834,1,mobile,UAE,1,0,0,0,1,0,0
T10816,U888,716.98,payment,electronics,2026-05-03 22:34:56.308484,5,1056.2791766943337,339.3,530,77,1,web,USA,1,0,0,0,0,0,0
T4070,U156,369.4,transfer,fashion,2026-05-03 11:21:19.308484,11,958.5371344835426,589.14,3512,738,1,web,Germany,1,0,1,1,0,0,0
T1991,U300,1601.0,transfer,electronics,2026-05-03 11:05:11.308484,7,1701.445631721696,100.45,3150,998,3,mobile,USA,1,0,0,1,0,0,0
T7908,U824,1783.81,withdrawal,travel,2026-05-03 13:50:16.308484,3,2186.7649999643827,402.95,3883,640,1,mobile,USA,1,0,0,0,0,0,0
T8519,U83,477.47,withdrawal,grocery,2026-05-03 15:48:25.308484,8,2808.392585744627,2330.92,4965,1387,1,web,UK,1,0,0,0,0,0,0
T790,U176,2244.25,transfer,travel,2026-05-03 12:33:02.308484,2,2466.4586770787664,222.21,7404,1352,0,mobile,UAE,1,0,0,0,0,0,0
T5860,U1029,959.16,withdrawal,gaming,2026-05-03 17:31:30.308484,2,2350.739934053355,1391.58,589,94,1,web,Germany,1,0,0,0,0,0,0
T8550,U119,1019.44,transfer,travel,2026-05-03 15:48:56.308484,11,889.5976174818613,129.84,1862,584,1,mobile,Germany,1,0,1,0,0,0,0
T5313,U748,3615.85,payment,gaming,2026-05-03 16:46:45.308484,5,2692.4474602596238,923.4,2618,53,2,web,USA,1,0,0,0,0,0,0
T2308,U314,2047.92,transfer,electronics,2026-05-03 10:53:40.308484,7,2673.647757101011,625.73,1391,48,2,web,USA,1,0,0,1,0,0,0
T8102,U618,3809.62,withdrawal,electronics,2026-05-03 20:50:56.308484,7,2452.3566754006224,1357.26,2964,1238,0,web,India,0,0,0,0,0,0,0
T2217,U429,1146.2,transfer,electronics,2026-05-03 11:47:00.308484,2,1521.3072394096564,375.11,3231,558,0,web,USA,1,0,0,0,0,0,0
T1052,U239,2493.45,transfer,gaming,2026-05-03 11:50:18.308484,1,2453.807823832668,39.64,440,351,0,web,Germany,1,0,0,0,0,0,0
T8975,U668,887.63,transfer,fashion,2026-05-03 13:11:45.308484,1,587.906804857516,299.72,1841,1869,1,web,Germany,1,0,0,1,0,0,0
T5762,U347,1359.05,transfer,gaming,2026-05-03 15:21:26.308484,3,1392.4165664160985,33.37,3126,345,1,web,USA,1,0,0,0,0,0,0
T3912,U675,3425.84,withdrawal,gaming,2026-05-03 11:08:45.308484,5,2956.35449540916,469.49,3460,1401,0,mobile,USA,1,0,0,0,0,0,0
T7801,U1186,1162.23,transfer,fashion,2026-05-03 22:00:26.308484,7,1548.606519764206,386.38,4088,1831,1,mobile,UAE,1,0,0,1,0,0,0
T11723,U273,359.48,transfer,gaming,2026-05-03 23:13:05.308484,6,647.2705054151952,287.79,1554,1344,1,mobile,Germany,1,0,0,0,0,0,0
T1291,U385,648.91,payment,fashion,2026-05-03 13:58:55.308484,11,506.6704200232157,142.24,4962,762,2,mobile,USA,1,0,1,0,0,0,0
T8054,U911,2681.72,transfer,fashion,2026-05-03 18:16:14.308484,6,2403.2903407125323,278.43,2607,637,1,web,UK,1,0,0,0,0,0,1
T7776,U914,934.4,withdrawal,travel,2026-05-03 13:31:37.308484,2,827.9337371530607,106.47,99,560,1,mobile,UAE,1,0,0,0,0,0,0
T8662,U1042,6596.09,payment,travel,2026-05-03 15:29:03.308484,3,2967.9432729052146,3628.15,1508,38,2,mobile,UAE,1,1,0,0,0,0,0
T3831,U425,2797.56,payment,travel,2026-05-03 14:32:23.308484,3,2820.4441507126076,22.88,3497,830,0,mobile,Germany,1,0,0,0,0,0,0
T5187,U1197,1249.51,payment,electronics,2026-05-03 15:50:20.308484,8,2596.3763485873237,1346.87,4327,343,1,mobile,India,0,0,0,0,0,0,0
T8282,U880,1781.82,withdrawal,gaming,2026-05-03 16:33:19.308484,4,2370.547949203772,588.73,915,1134,2,web,UK,1,0,0,0,1,0,0
T947,U580,1058.18,transfer,gaming,2026-05-03 11:47:32.308484,11,806.5701249450165,251.61,1880,516,0,web,Germany,1,0,1,1,0,0,0
T8809,U26,50.0,withdrawal,gaming,2026-05-03 14:46:31.308484,2,2946.9668505830195,2896.97,2556,1553,1,web,UK,1,0,0,0,0,0,0
T3225,U1184,1385.71,payment,grocery,2026-05-03 10:30:38.308484,2,1243.1463672592195,142.56,272,1506,0,mobile,USA,1,0,0,0,0,0,0
T6546,U914,2045.99,withdrawal,travel,2026-05-03 13:04:06.308484,5,1776.3486550599544,269.64,2745,1622,2,mobile,UK,1,0,0,0,1,0,0
T5444,U870,863.14,transfer,grocery,2026-05-03 12:20:40.308484,11,782.5404601431492,80.6,1767,1067,1,mobile,UAE,1,0,1,0,0,0,0
T7569,U1090,1247.24,withdrawal,gaming,2026-05-03 10:36:01.308484,11,1615.909769753146,368.67,8113,45,1,mobile,India,0,0,1,0,0,0,0
T8018,U647,1439.56,transfer,fashion,2026-05-03 14:38:17.308484,9,2283.580411590826,844.02,4822,181,0,web,India,0,0,1,0,0,0,0
