scored_at,amount,merchant_category,location,fraud_probability,is_flagged,scoring_latency_ms
2026-09-04T13:01:35.977073,2223.52,electronics,India,0.0193,False,126.16
2026-09-04T13:10:49.500092,462.41,gaming,UAE,0.0685,True,33.42
2026-09-04T13:10:49.515035,3206.65,fashion,USA,0.0837,True,6.19
2026-09-04T13:10:49.519711,900.64,electronics,Germany,0.0602,True,6.42
2026-09-04T13:10:49.530811,404.59,grocery,USA,0.1435,True,5.36
2026-09-04T13:10:49.536058,50.0,grocery,UK,0.0223,False,6.23
2026-09-04T13:10:49.546832,1645.29,travel,USA,0.0469,False,5.04
2026-09-04T13:10:49.552500,50.0,grocery,UAE,0.0684,True,6.31
2026-09-04T13:10:49.552500,522.18,grocery,UAE,0.0702,True,4.73
2026-09-04T13:10:49.563013,476.99,electronics,USA,0.0343,False,4.8
2026-09-04T13:10:49.574928,3114.87,electronics,India,0.0145,False,8.48
2026-09-04T13:10:49.584305,50.0,grocery,India,0.0211,False,5.15
2026-09-04T13:10:49.592351,2551.67,fashion,USA,0.0646,True,6.7
2026-09-04T13:10:49.600297,1539.19,travel,UK,0.0341,False,6.04
2026-09-04T13:10:49.607601,226.03,gaming,India,0.013,False,7.9
2026-09-04T13:10:49.607601,1409.4,gaming,India,0.0344,False,4.87
2026-09-04T13:10:49.619083,2613.53,grocery,UK,0.0966,True,6.92
2026-09-04T13:10:49.619083,867.37,gaming,USA,0.0283,False,4.87
2026-09-04T13:10:49.635214,1005.55,electronics,India,0.0141,False,5.59
2026-09-04T13:10:49.638454,760.35,travel,UK,0.0396,False,5.78
2026-09-04T13:10:49.652484,1782.46,grocery,UAE,0.0405,False,6.47
2026-09-04T13:11:30.883778,462.41,gaming,UAE,0.0685,True,7.62
2026-09-04T13:11:30.896857,3206.65,fashion,USA,0.0837,True,11.0
2026-09-04T13:11:30.906331,900.64,electronics,Germany,0.0602,True,8.71
2026-09-04T13:11:30.915632,404.59,grocery,USA,0.1435,True,7.38
2026-09-04T13:11:30.923852,50.0,grocery,UK,0.0223,False,6.52
2026-09-04T13:11:30.923852,1645.29,travel,USA,0.0469,False,4.37
2026-09-04T13:11:30.936830,50.0,grocery,UAE,0.0684,True,6.27
2026-09-04T13:11:30.940302,522.18,grocery,UAE,0.0702,True,4.49
2026-09-04T13:11:30.948315,476.99,electronics,USA,0.0343,False,4.36
2026-09-04T13:11:30.952429,3114.87,electronics,India,0.0145,False,4.71
2026-09-04T13:11:30.957053,50.0,grocery,India,0.0211,False,5.81
2026-09-04T13:11:30.957053,2551.67,fashion,USA,0.0646,True,4.14
2026-09-04T13:11:30.973624,1539.19,travel,UK,0.0341,False,5.38
2026-09-04T13:11:30.973624,226.03,gaming,India,0.013,False,5.38
2026-09-04T13:11:30.985741,1409.4,gaming,India,0.0344,False,4.74
2026-09-04T13:11:30.989123,2613.53,grocery,UK,0.0966,True,5.72
2026-09-04T13:11:30.989123,867.37,gaming,USA,0.0283,False,4.16
2026-09-04T13:11:31.006125,1005.55,electronics,India,0.0141,False,6.16
2026-09-04T13:11:31.006125,760.35,travel,UK,0.0396,False,4.44
2026-09-04T13:11:31.017114,1782.46,grocery,UAE,0.0405,False,4.44
2026-09-04T13:13:58.573027,462.41,gaming,UAE,0.0685,True,8.02
2026-09-04T13:13:58.579679,3206.65,fashion,USA,0.0837,True,9.8
2026-09-04T13:13:58.596540,900.64,electronics,Germany,0.0602,True,9.39
2026-09-04T13:13:58.596540,404.59,grocery,USA,0.1435,True,4.95
2026-09-04T13:13:58.605084,50.0,grocery,UK,0.0223,False,4.76
2026-09-04T13:13:58.616307,1645.29,travel,USA,0.0469,False,5.92
2026-09-04T13:13:58.616307,50.0,grocery,UAE,0.0684,True,4.72
2026-09-04T13:13:58.629169,522.18,grocery,UAE,0.0702,True,4.31
2026-09-04T13:13:58.680064,476.99,electronics,USA,0.0343,False,7.51
2026-09-04T13:13:58.680064,3114.87,electronics,India,0.0145,False,4.6
2026-09-04T13:13:58.687953,50.0,grocery,India,0.0211,False,4.2
2026-09-04T13:13:58.696579,2551.67,fashion,USA,0.0646,True,5.45
2026-09-04T13:13:58.700406,1539.19,travel,UK,0.0341,False,5.55
2026-09-04T13:13:58.700406,226.03,gaming,India,0.013,False,4.19
2026-09-04T13:13:58.713243,1409.4,gaming,India,0.0344,False,4.65
2026-09-04T13:13:58.720351,2613.53,grocery,UK,0.0966,True,4.3
2026-09-04T13:13:58.720351,867.37,gaming,USA,0.0283,False,4.0
2026-09-04T13:13:58.730450,1005.55,electronics,India,0.0141,False,4.69
2026-09-04T13:13:58.736604,760.35,travel,UK,0.0396,False,4.18
2026-09-04T13:13:58.740695,1782.46,grocery,UAE,0.0405,False,4.12
2026-09-04T13:15:24.105288,462.41,gaming,UAE,0.0685,True,9.26
2026-09-04T13:15:24.122434,3206.65,fashion,USA,0.0837,True,10.27
2026-09-04T13:15:24.130301,900.64,electronics,Germany,0.0602,True,9.1
2026-09-04T13:15:24.138450,404.59,grocery,USA,0.1435,True,6.02
2026-09-04T13:15:24.153460,50.0,grocery,UK,0.0223,False,8.25
2026-09-04T13:15:24.164487,1645.29,travel,USA,0.0469,False,14.41
2026-09-04T13:15:24.183429,50.0,grocery,UAE,0.0684,True,11.75
